Country.Region,date,total_count
Afghanistan,1.22.20,0
Algeria,1.22.20,0
Andorra,1.22.20,0
Argentina,1.22.20,0
Armenia,1.22.20,0
Australia,1.22.20,0
Austria,1.22.20,0
Azerbaijan,1.22.20,0
Bahrain,1.22.20,0
Belarus,1.22.20,0
Belgium,1.22.20,0
Bhutan,1.22.20,0
Bosnia and Herzegovina,1.22.20,0
Brazil,1.22.20,0
Cambodia,1.22.20,0
Cameroon,1.22.20,0
Canada,1.22.20,0
Chile,1.22.20,0
Colombia,1.22.20,0
Costa Rica,1.22.20,0
Croatia,1.22.20,0
Czech Republic,1.22.20,0
Denmark,1.22.20,0
Dominican Republic,1.22.20,0
Ecuador,1.22.20,0
Egypt,1.22.20,0
Estonia,1.22.20,0
Faroe Islands,1.22.20,0
Finland,1.22.20,0
France,1.22.20,0
French Guiana,1.22.20,0
Georgia,1.22.20,0
Germany,1.22.20,0
Gibraltar,1.22.20,0
Greece,1.22.20,0
Hong Kong,1.22.20,0
Hungary,1.22.20,0
Iceland,1.22.20,0
India,1.22.20,0
Indonesia,1.22.20,0
Iran,1.22.20,0
Iraq,1.22.20,0
Ireland,1.22.20,0
Israel,1.22.20,0
Italy,1.22.20,0
Japan,1.22.20,2
Jordan,1.22.20,0
Kuwait,1.22.20,0
Latvia,1.22.20,0
Lebanon,1.22.20,0
Liechtenstein,1.22.20,0
Lithuania,1.22.20,0
Luxembourg,1.22.20,0
Macau,1.22.20,1
Mainland China,1.22.20,547
Malaysia,1.22.20,0
Malta,1.22.20,0
Martinique,1.22.20,0
Mexico,1.22.20,0
Monaco,1.22.20,0
Morocco,1.22.20,0
Nepal,1.22.20,0
Netherlands,1.22.20,0
New Zealand,1.22.20,0
Nigeria,1.22.20,0
North Macedonia,1.22.20,0
Norway,1.22.20,0
Oman,1.22.20,0
Others,1.22.20,0
Pakistan,1.22.20,0
Palestine,1.22.20,0
Peru,1.22.20,0
Philippines,1.22.20,0
Poland,1.22.20,0
Portugal,1.22.20,0
Qatar,1.22.20,0
Romania,1.22.20,0
Russia,1.22.20,0
Saint Barthelemy,1.22.20,0
San Marino,1.22.20,0
Saudi Arabia,1.22.20,0
Senegal,1.22.20,0
Serbia,1.22.20,0
Singapore,1.22.20,0
Slovakia,1.22.20,0
Slovenia,1.22.20,0
South Africa,1.22.20,0
South Korea,1.22.20,1
Spain,1.22.20,0
Sri Lanka,1.22.20,0
Sweden,1.22.20,0
Switzerland,1.22.20,0
Taiwan,1.22.20,1
Thailand,1.22.20,2
Togo,1.22.20,0
Tunisia,1.22.20,0
UK,1.22.20,0
Ukraine,1.22.20,0
United Arab Emirates,1.22.20,0
US,1.22.20,1
Vatican City,1.22.20,0
Vietnam,1.22.20,0
Afghanistan,1.23.20,0
Algeria,1.23.20,0
Andorra,1.23.20,0
Argentina,1.23.20,0
Armenia,1.23.20,0
Australia,1.23.20,0
Austria,1.23.20,0
Azerbaijan,1.23.20,0
Bahrain,1.23.20,0
Belarus,1.23.20,0
Belgium,1.23.20,0
Bhutan,1.23.20,0
Bosnia and Herzegovina,1.23.20,0
Brazil,1.23.20,0
Cambodia,1.23.20,0
Cameroon,1.23.20,0
Canada,1.23.20,0
Chile,1.23.20,0
Colombia,1.23.20,0
Costa Rica,1.23.20,0
Croatia,1.23.20,0
Czech Republic,1.23.20,0
Denmark,1.23.20,0
Dominican Republic,1.23.20,0
Ecuador,1.23.20,0
Egypt,1.23.20,0
Estonia,1.23.20,0
Faroe Islands,1.23.20,0
Finland,1.23.20,0
France,1.23.20,0
French Guiana,1.23.20,0
Georgia,1.23.20,0
Germany,1.23.20,0
Gibraltar,1.23.20,0
Greece,1.23.20,0
Hong Kong,1.23.20,2
Hungary,1.23.20,0
Iceland,1.23.20,0
India,1.23.20,0
Indonesia,1.23.20,0
Iran,1.23.20,0
Iraq,1.23.20,0
Ireland,1.23.20,0
Israel,1.23.20,0
Italy,1.23.20,0
Japan,1.23.20,1
Jordan,1.23.20,0
Kuwait,1.23.20,0
Latvia,1.23.20,0
Lebanon,1.23.20,0
Liechtenstein,1.23.20,0
Lithuania,1.23.20,0
Luxembourg,1.23.20,0
Macau,1.23.20,2
Mainland China,1.23.20,639
Malaysia,1.23.20,0
Malta,1.23.20,0
Martinique,1.23.20,0
Mexico,1.23.20,0
Monaco,1.23.20,0
Morocco,1.23.20,0
Nepal,1.23.20,0
Netherlands,1.23.20,0
New Zealand,1.23.20,0
Nigeria,1.23.20,0
North Macedonia,1.23.20,0
Norway,1.23.20,0
Oman,1.23.20,0
Others,1.23.20,0
Pakistan,1.23.20,0
Palestine,1.23.20,0
Peru,1.23.20,0
Philippines,1.23.20,0
Poland,1.23.20,0
Portugal,1.23.20,0
Qatar,1.23.20,0
Romania,1.23.20,0
Russia,1.23.20,0
Saint Barthelemy,1.23.20,0
San Marino,1.23.20,0
Saudi Arabia,1.23.20,0
Senegal,1.23.20,0
Serbia,1.23.20,0
Singapore,1.23.20,1
Slovakia,1.23.20,0
Slovenia,1.23.20,0
South Africa,1.23.20,0
South Korea,1.23.20,1
Spain,1.23.20,0
Sri Lanka,1.23.20,0
Sweden,1.23.20,0
Switzerland,1.23.20,0
Taiwan,1.23.20,1
Thailand,1.23.20,3
Togo,1.23.20,0
Tunisia,1.23.20,0
UK,1.23.20,0
Ukraine,1.23.20,0
United Arab Emirates,1.23.20,0
US,1.23.20,1
Vatican City,1.23.20,0
Vietnam,1.23.20,2
Afghanistan,1.24.20,0
Algeria,1.24.20,0
Andorra,1.24.20,0
Argentina,1.24.20,0
Armenia,1.24.20,0
Australia,1.24.20,0
Austria,1.24.20,0
Azerbaijan,1.24.20,0
Bahrain,1.24.20,0
Belarus,1.24.20,0
Belgium,1.24.20,0
Bhutan,1.24.20,0
Bosnia and Herzegovina,1.24.20,0
Brazil,1.24.20,0
Cambodia,1.24.20,0
Cameroon,1.24.20,0
Canada,1.24.20,0
Chile,1.24.20,0
Colombia,1.24.20,0
Costa Rica,1.24.20,0
Croatia,1.24.20,0
Czech Republic,1.24.20,0
Denmark,1.24.20,0
Dominican Republic,1.24.20,0
Ecuador,1.24.20,0
Egypt,1.24.20,0
Estonia,1.24.20,0
Faroe Islands,1.24.20,0
Finland,1.24.20,0
France,1.24.20,2
French Guiana,1.24.20,0
Georgia,1.24.20,0
Germany,1.24.20,0
Gibraltar,1.24.20,0
Greece,1.24.20,0
Hong Kong,1.24.20,2
Hungary,1.24.20,0
Iceland,1.24.20,0
India,1.24.20,0
Indonesia,1.24.20,0
Iran,1.24.20,0
Iraq,1.24.20,0
Ireland,1.24.20,0
Israel,1.24.20,0
Italy,1.24.20,0
Japan,1.24.20,2
Jordan,1.24.20,0
Kuwait,1.24.20,0
Latvia,1.24.20,0
Lebanon,1.24.20,0
Liechtenstein,1.24.20,0
Lithuania,1.24.20,0
Luxembourg,1.24.20,0
Macau,1.24.20,2
Mainland China,1.24.20,916
Malaysia,1.24.20,0
Malta,1.24.20,0
Martinique,1.24.20,0
Mexico,1.24.20,0
Monaco,1.24.20,0
Morocco,1.24.20,0
Nepal,1.24.20,0
Netherlands,1.24.20,0
New Zealand,1.24.20,0
Nigeria,1.24.20,0
North Macedonia,1.24.20,0
Norway,1.24.20,0
Oman,1.24.20,0
Others,1.24.20,0
Pakistan,1.24.20,0
Palestine,1.24.20,0
Peru,1.24.20,0
Philippines,1.24.20,0
Poland,1.24.20,0
Portugal,1.24.20,0
Qatar,1.24.20,0
Romania,1.24.20,0
Russia,1.24.20,0
Saint Barthelemy,1.24.20,0
San Marino,1.24.20,0
Saudi Arabia,1.24.20,0
Senegal,1.24.20,0
Serbia,1.24.20,0
Singapore,1.24.20,3
Slovakia,1.24.20,0
Slovenia,1.24.20,0
South Africa,1.24.20,0
South Korea,1.24.20,2
Spain,1.24.20,0
Sri Lanka,1.24.20,0
Sweden,1.24.20,0
Switzerland,1.24.20,0
Taiwan,1.24.20,3
Thailand,1.24.20,5
Togo,1.24.20,0
Tunisia,1.24.20,0
UK,1.24.20,0
Ukraine,1.24.20,0
United Arab Emirates,1.24.20,0
US,1.24.20,2
Vatican City,1.24.20,0
Vietnam,1.24.20,2
Afghanistan,1.25.20,0
Algeria,1.25.20,0
Andorra,1.25.20,0
Argentina,1.25.20,0
Armenia,1.25.20,0
Australia,1.25.20,0
Austria,1.25.20,0
Azerbaijan,1.25.20,0
Bahrain,1.25.20,0
Belarus,1.25.20,0
Belgium,1.25.20,0
Bhutan,1.25.20,0
Bosnia and Herzegovina,1.25.20,0
Brazil,1.25.20,0
Cambodia,1.25.20,0
Cameroon,1.25.20,0
Canada,1.25.20,0
Chile,1.25.20,0
Colombia,1.25.20,0
Costa Rica,1.25.20,0
Croatia,1.25.20,0
Czech Republic,1.25.20,0
Denmark,1.25.20,0
Dominican Republic,1.25.20,0
Ecuador,1.25.20,0
Egypt,1.25.20,0
Estonia,1.25.20,0
Faroe Islands,1.25.20,0
Finland,1.25.20,0
France,1.25.20,3
French Guiana,1.25.20,0
Georgia,1.25.20,0
Germany,1.25.20,0
Gibraltar,1.25.20,0
Greece,1.25.20,0
Hong Kong,1.25.20,5
Hungary,1.25.20,0
Iceland,1.25.20,0
India,1.25.20,0
Indonesia,1.25.20,0
Iran,1.25.20,0
Iraq,1.25.20,0
Ireland,1.25.20,0
Israel,1.25.20,0
Italy,1.25.20,0
Japan,1.25.20,2
Jordan,1.25.20,0
Kuwait,1.25.20,0
Latvia,1.25.20,0
Lebanon,1.25.20,0
Liechtenstein,1.25.20,0
Lithuania,1.25.20,0
Luxembourg,1.25.20,0
Macau,1.25.20,2
Mainland China,1.25.20,1399
Malaysia,1.25.20,3
Malta,1.25.20,0
Martinique,1.25.20,0
Mexico,1.25.20,0
Monaco,1.25.20,0
Morocco,1.25.20,0
Nepal,1.25.20,1
Netherlands,1.25.20,0
New Zealand,1.25.20,0
Nigeria,1.25.20,0
North Macedonia,1.25.20,0
Norway,1.25.20,0
Oman,1.25.20,0
Others,1.25.20,0
Pakistan,1.25.20,0
Palestine,1.25.20,0
Peru,1.25.20,0
Philippines,1.25.20,0
Poland,1.25.20,0
Portugal,1.25.20,0
Qatar,1.25.20,0
Romania,1.25.20,0
Russia,1.25.20,0
Saint Barthelemy,1.25.20,0
San Marino,1.25.20,0
Saudi Arabia,1.25.20,0
Senegal,1.25.20,0
Serbia,1.25.20,0
Singapore,1.25.20,3
Slovakia,1.25.20,0
Slovenia,1.25.20,0
South Africa,1.25.20,0
South Korea,1.25.20,2
Spain,1.25.20,0
Sri Lanka,1.25.20,0
Sweden,1.25.20,0
Switzerland,1.25.20,0
Taiwan,1.25.20,3
Thailand,1.25.20,7
Togo,1.25.20,0
Tunisia,1.25.20,0
UK,1.25.20,0
Ukraine,1.25.20,0
United Arab Emirates,1.25.20,0
US,1.25.20,2
Vatican City,1.25.20,0
Vietnam,1.25.20,2
Afghanistan,1.26.20,0
Algeria,1.26.20,0
Andorra,1.26.20,0
Argentina,1.26.20,0
Armenia,1.26.20,0
Australia,1.26.20,4
Austria,1.26.20,0
Azerbaijan,1.26.20,0
Bahrain,1.26.20,0
Belarus,1.26.20,0
Belgium,1.26.20,0
Bhutan,1.26.20,0
Bosnia and Herzegovina,1.26.20,0
Brazil,1.26.20,0
Cambodia,1.26.20,0
Cameroon,1.26.20,0
Canada,1.26.20,1
Chile,1.26.20,0
Colombia,1.26.20,0
Costa Rica,1.26.20,0
Croatia,1.26.20,0
Czech Republic,1.26.20,0
Denmark,1.26.20,0
Dominican Republic,1.26.20,0
Ecuador,1.26.20,0
Egypt,1.26.20,0
Estonia,1.26.20,0
Faroe Islands,1.26.20,0
Finland,1.26.20,0
France,1.26.20,3
French Guiana,1.26.20,0
Georgia,1.26.20,0
Germany,1.26.20,0
Gibraltar,1.26.20,0
Greece,1.26.20,0
Hong Kong,1.26.20,8
Hungary,1.26.20,0
Iceland,1.26.20,0
India,1.26.20,0
Indonesia,1.26.20,0
Iran,1.26.20,0
Iraq,1.26.20,0
Ireland,1.26.20,0
Israel,1.26.20,0
Italy,1.26.20,0
Japan,1.26.20,4
Jordan,1.26.20,0
Kuwait,1.26.20,0
Latvia,1.26.20,0
Lebanon,1.26.20,0
Liechtenstein,1.26.20,0
Lithuania,1.26.20,0
Luxembourg,1.26.20,0
Macau,1.26.20,5
Mainland China,1.26.20,2062
Malaysia,1.26.20,4
Malta,1.26.20,0
Martinique,1.26.20,0
Mexico,1.26.20,0
Monaco,1.26.20,0
Morocco,1.26.20,0
Nepal,1.26.20,1
Netherlands,1.26.20,0
New Zealand,1.26.20,0
Nigeria,1.26.20,0
North Macedonia,1.26.20,0
Norway,1.26.20,0
Oman,1.26.20,0
Others,1.26.20,0
Pakistan,1.26.20,0
Palestine,1.26.20,0
Peru,1.26.20,0
Philippines,1.26.20,0
Poland,1.26.20,0
Portugal,1.26.20,0
Qatar,1.26.20,0
Romania,1.26.20,0
Russia,1.26.20,0
Saint Barthelemy,1.26.20,0
San Marino,1.26.20,0
Saudi Arabia,1.26.20,0
Senegal,1.26.20,0
Serbia,1.26.20,0
Singapore,1.26.20,4
Slovakia,1.26.20,0
Slovenia,1.26.20,0
South Africa,1.26.20,0
South Korea,1.26.20,3
Spain,1.26.20,0
Sri Lanka,1.26.20,0
Sweden,1.26.20,0
Switzerland,1.26.20,0
Taiwan,1.26.20,4
Thailand,1.26.20,8
Togo,1.26.20,0
Tunisia,1.26.20,0
UK,1.26.20,0
Ukraine,1.26.20,0
United Arab Emirates,1.26.20,0
US,1.26.20,5
Vatican City,1.26.20,0
Vietnam,1.26.20,2
Afghanistan,1.27.20,0
Algeria,1.27.20,0
Andorra,1.27.20,0
Argentina,1.27.20,0
Armenia,1.27.20,0
Australia,1.27.20,5
Austria,1.27.20,0
Azerbaijan,1.27.20,0
Bahrain,1.27.20,0
Belarus,1.27.20,0
Belgium,1.27.20,0
Bhutan,1.27.20,0
Bosnia and Herzegovina,1.27.20,0
Brazil,1.27.20,0
Cambodia,1.27.20,1
Cameroon,1.27.20,0
Canada,1.27.20,1
Chile,1.27.20,0
Colombia,1.27.20,0
Costa Rica,1.27.20,0
Croatia,1.27.20,0
Czech Republic,1.27.20,0
Denmark,1.27.20,0
Dominican Republic,1.27.20,0
Ecuador,1.27.20,0
Egypt,1.27.20,0
Estonia,1.27.20,0
Faroe Islands,1.27.20,0
Finland,1.27.20,0
France,1.27.20,3
French Guiana,1.27.20,0
Georgia,1.27.20,0
Germany,1.27.20,1
Gibraltar,1.27.20,0
Greece,1.27.20,0
Hong Kong,1.27.20,8
Hungary,1.27.20,0
Iceland,1.27.20,0
India,1.27.20,0
Indonesia,1.27.20,0
Iran,1.27.20,0
Iraq,1.27.20,0
Ireland,1.27.20,0
Israel,1.27.20,0
Italy,1.27.20,0
Japan,1.27.20,4
Jordan,1.27.20,0
Kuwait,1.27.20,0
Latvia,1.27.20,0
Lebanon,1.27.20,0
Liechtenstein,1.27.20,0
Lithuania,1.27.20,0
Luxembourg,1.27.20,0
Macau,1.27.20,6
Mainland China,1.27.20,2863
Malaysia,1.27.20,4
Malta,1.27.20,0
Martinique,1.27.20,0
Mexico,1.27.20,0
Monaco,1.27.20,0
Morocco,1.27.20,0
Nepal,1.27.20,1
Netherlands,1.27.20,0
New Zealand,1.27.20,0
Nigeria,1.27.20,0
North Macedonia,1.27.20,0
Norway,1.27.20,0
Oman,1.27.20,0
Others,1.27.20,0
Pakistan,1.27.20,0
Palestine,1.27.20,0
Peru,1.27.20,0
Philippines,1.27.20,0
Poland,1.27.20,0
Portugal,1.27.20,0
Qatar,1.27.20,0
Romania,1.27.20,0
Russia,1.27.20,0
Saint Barthelemy,1.27.20,0
San Marino,1.27.20,0
Saudi Arabia,1.27.20,0
Senegal,1.27.20,0
Serbia,1.27.20,0
Singapore,1.27.20,5
Slovakia,1.27.20,0
Slovenia,1.27.20,0
South Africa,1.27.20,0
South Korea,1.27.20,4
Spain,1.27.20,0
Sri Lanka,1.27.20,1
Sweden,1.27.20,0
Switzerland,1.27.20,0
Taiwan,1.27.20,5
Thailand,1.27.20,8
Togo,1.27.20,0
Tunisia,1.27.20,0
UK,1.27.20,0
Ukraine,1.27.20,0
United Arab Emirates,1.27.20,0
US,1.27.20,5
Vatican City,1.27.20,0
Vietnam,1.27.20,2
Afghanistan,1.28.20,0
Algeria,1.28.20,0
Andorra,1.28.20,0
Argentina,1.28.20,0
Armenia,1.28.20,0
Australia,1.28.20,5
Austria,1.28.20,0
Azerbaijan,1.28.20,0
Bahrain,1.28.20,0
Belarus,1.28.20,0
Belgium,1.28.20,0
Bhutan,1.28.20,0
Bosnia and Herzegovina,1.28.20,0
Brazil,1.28.20,0
Cambodia,1.28.20,1
Cameroon,1.28.20,0
Canada,1.28.20,2
Chile,1.28.20,0
Colombia,1.28.20,0
Costa Rica,1.28.20,0
Croatia,1.28.20,0
Czech Republic,1.28.20,0
Denmark,1.28.20,0
Dominican Republic,1.28.20,0
Ecuador,1.28.20,0
Egypt,1.28.20,0
Estonia,1.28.20,0
Faroe Islands,1.28.20,0
Finland,1.28.20,0
France,1.28.20,4
French Guiana,1.28.20,0
Georgia,1.28.20,0
Germany,1.28.20,4
Gibraltar,1.28.20,0
Greece,1.28.20,0
Hong Kong,1.28.20,8
Hungary,1.28.20,0
Iceland,1.28.20,0
India,1.28.20,0
Indonesia,1.28.20,0
Iran,1.28.20,0
Iraq,1.28.20,0
Ireland,1.28.20,0
Israel,1.28.20,0
Italy,1.28.20,0
Japan,1.28.20,7
Jordan,1.28.20,0
Kuwait,1.28.20,0
Latvia,1.28.20,0
Lebanon,1.28.20,0
Liechtenstein,1.28.20,0
Lithuania,1.28.20,0
Luxembourg,1.28.20,0
Macau,1.28.20,7
Mainland China,1.28.20,5494
Malaysia,1.28.20,4
Malta,1.28.20,0
Martinique,1.28.20,0
Mexico,1.28.20,0
Monaco,1.28.20,0
Morocco,1.28.20,0
Nepal,1.28.20,1
Netherlands,1.28.20,0
New Zealand,1.28.20,0
Nigeria,1.28.20,0
North Macedonia,1.28.20,0
Norway,1.28.20,0
Oman,1.28.20,0
Others,1.28.20,0
Pakistan,1.28.20,0
Palestine,1.28.20,0
Peru,1.28.20,0
Philippines,1.28.20,0
Poland,1.28.20,0
Portugal,1.28.20,0
Qatar,1.28.20,0
Romania,1.28.20,0
Russia,1.28.20,0
Saint Barthelemy,1.28.20,0
San Marino,1.28.20,0
Saudi Arabia,1.28.20,0
Senegal,1.28.20,0
Serbia,1.28.20,0
Singapore,1.28.20,7
Slovakia,1.28.20,0
Slovenia,1.28.20,0
South Africa,1.28.20,0
South Korea,1.28.20,4
Spain,1.28.20,0
Sri Lanka,1.28.20,1
Sweden,1.28.20,0
Switzerland,1.28.20,0
Taiwan,1.28.20,8
Thailand,1.28.20,14
Togo,1.28.20,0
Tunisia,1.28.20,0
UK,1.28.20,0
Ukraine,1.28.20,0
United Arab Emirates,1.28.20,0
US,1.28.20,5
Vatican City,1.28.20,0
Vietnam,1.28.20,2
Afghanistan,1.29.20,0
Algeria,1.29.20,0
Andorra,1.29.20,0
Argentina,1.29.20,0
Armenia,1.29.20,0
Australia,1.29.20,6
Austria,1.29.20,0
Azerbaijan,1.29.20,0
Bahrain,1.29.20,0
Belarus,1.29.20,0
Belgium,1.29.20,0
Bhutan,1.29.20,0
Bosnia and Herzegovina,1.29.20,0
Brazil,1.29.20,0
Cambodia,1.29.20,1
Cameroon,1.29.20,0
Canada,1.29.20,2
Chile,1.29.20,0
Colombia,1.29.20,0
Costa Rica,1.29.20,0
Croatia,1.29.20,0
Czech Republic,1.29.20,0
Denmark,1.29.20,0
Dominican Republic,1.29.20,0
Ecuador,1.29.20,0
Egypt,1.29.20,0
Estonia,1.29.20,0
Faroe Islands,1.29.20,0
Finland,1.29.20,1
France,1.29.20,5
French Guiana,1.29.20,0
Georgia,1.29.20,0
Germany,1.29.20,4
Gibraltar,1.29.20,0
Greece,1.29.20,0
Hong Kong,1.29.20,10
Hungary,1.29.20,0
Iceland,1.29.20,0
India,1.29.20,0
Indonesia,1.29.20,0
Iran,1.29.20,0
Iraq,1.29.20,0
Ireland,1.29.20,0
Israel,1.29.20,0
Italy,1.29.20,0
Japan,1.29.20,7
Jordan,1.29.20,0
Kuwait,1.29.20,0
Latvia,1.29.20,0
Lebanon,1.29.20,0
Liechtenstein,1.29.20,0
Lithuania,1.29.20,0
Luxembourg,1.29.20,0
Macau,1.29.20,7
Mainland China,1.29.20,6070
Malaysia,1.29.20,7
Malta,1.29.20,0
Martinique,1.29.20,0
Mexico,1.29.20,0
Monaco,1.29.20,0
Morocco,1.29.20,0
Nepal,1.29.20,1
Netherlands,1.29.20,0
New Zealand,1.29.20,0
Nigeria,1.29.20,0
North Macedonia,1.29.20,0
Norway,1.29.20,0
Oman,1.29.20,0
Others,1.29.20,0
Pakistan,1.29.20,0
Palestine,1.29.20,0
Peru,1.29.20,0
Philippines,1.29.20,0
Poland,1.29.20,0
Portugal,1.29.20,0
Qatar,1.29.20,0
Romania,1.29.20,0
Russia,1.29.20,0
Saint Barthelemy,1.29.20,0
San Marino,1.29.20,0
Saudi Arabia,1.29.20,0
Senegal,1.29.20,0
Serbia,1.29.20,0
Singapore,1.29.20,7
Slovakia,1.29.20,0
Slovenia,1.29.20,0
South Africa,1.29.20,0
South Korea,1.29.20,4
Spain,1.29.20,0
Sri Lanka,1.29.20,1
Sweden,1.29.20,0
Switzerland,1.29.20,0
Taiwan,1.29.20,8
Thailand,1.29.20,14
Togo,1.29.20,0
Tunisia,1.29.20,0
UK,1.29.20,0
Ukraine,1.29.20,0
United Arab Emirates,1.29.20,4
US,1.29.20,5
Vatican City,1.29.20,0
Vietnam,1.29.20,2
Afghanistan,1.30.20,0
Algeria,1.30.20,0
Andorra,1.30.20,0
Argentina,1.30.20,0
Armenia,1.30.20,0
Australia,1.30.20,9
Austria,1.30.20,0
Azerbaijan,1.30.20,0
Bahrain,1.30.20,0
Belarus,1.30.20,0
Belgium,1.30.20,0
Bhutan,1.30.20,0
Bosnia and Herzegovina,1.30.20,0
Brazil,1.30.20,0
Cambodia,1.30.20,1
Cameroon,1.30.20,0
Canada,1.30.20,2
Chile,1.30.20,0
Colombia,1.30.20,0
Costa Rica,1.30.20,0
Croatia,1.30.20,0
Czech Republic,1.30.20,0
Denmark,1.30.20,0
Dominican Republic,1.30.20,0
Ecuador,1.30.20,0
Egypt,1.30.20,0
Estonia,1.30.20,0
Faroe Islands,1.30.20,0
Finland,1.30.20,1
France,1.30.20,5
French Guiana,1.30.20,0
Georgia,1.30.20,0
Germany,1.30.20,4
Gibraltar,1.30.20,0
Greece,1.30.20,0
Hong Kong,1.30.20,10
Hungary,1.30.20,0
Iceland,1.30.20,0
India,1.30.20,1
Indonesia,1.30.20,0
Iran,1.30.20,0
Iraq,1.30.20,0
Ireland,1.30.20,0
Israel,1.30.20,0
Italy,1.30.20,0
Japan,1.30.20,11
Jordan,1.30.20,0
Kuwait,1.30.20,0
Latvia,1.30.20,0
Lebanon,1.30.20,0
Liechtenstein,1.30.20,0
Lithuania,1.30.20,0
Luxembourg,1.30.20,0
Macau,1.30.20,7
Mainland China,1.30.20,8124
Malaysia,1.30.20,8
Malta,1.30.20,0
Martinique,1.30.20,0
Mexico,1.30.20,0
Monaco,1.30.20,0
Morocco,1.30.20,0
Nepal,1.30.20,1
Netherlands,1.30.20,0
New Zealand,1.30.20,0
Nigeria,1.30.20,0
North Macedonia,1.30.20,0
Norway,1.30.20,0
Oman,1.30.20,0
Others,1.30.20,0
Pakistan,1.30.20,0
Palestine,1.30.20,0
Peru,1.30.20,0
Philippines,1.30.20,1
Poland,1.30.20,0
Portugal,1.30.20,0
Qatar,1.30.20,0
Romania,1.30.20,0
Russia,1.30.20,0
Saint Barthelemy,1.30.20,0
San Marino,1.30.20,0
Saudi Arabia,1.30.20,0
Senegal,1.30.20,0
Serbia,1.30.20,0
Singapore,1.30.20,10
Slovakia,1.30.20,0
Slovenia,1.30.20,0
South Africa,1.30.20,0
South Korea,1.30.20,4
Spain,1.30.20,0
Sri Lanka,1.30.20,1
Sweden,1.30.20,0
Switzerland,1.30.20,0
Taiwan,1.30.20,9
Thailand,1.30.20,14
Togo,1.30.20,0
Tunisia,1.30.20,0
UK,1.30.20,0
Ukraine,1.30.20,0
United Arab Emirates,1.30.20,4
US,1.30.20,5
Vatican City,1.30.20,0
Vietnam,1.30.20,2
Afghanistan,1.31.20,0
Algeria,1.31.20,0
Andorra,1.31.20,0
Argentina,1.31.20,0
Armenia,1.31.20,0
Australia,1.31.20,9
Austria,1.31.20,0
Azerbaijan,1.31.20,0
Bahrain,1.31.20,0
Belarus,1.31.20,0
Belgium,1.31.20,0
Bhutan,1.31.20,0
Bosnia and Herzegovina,1.31.20,0
Brazil,1.31.20,0
Cambodia,1.31.20,1
Cameroon,1.31.20,0
Canada,1.31.20,4
Chile,1.31.20,0
Colombia,1.31.20,0
Costa Rica,1.31.20,0
Croatia,1.31.20,0
Czech Republic,1.31.20,0
Denmark,1.31.20,0
Dominican Republic,1.31.20,0
Ecuador,1.31.20,0
Egypt,1.31.20,0
Estonia,1.31.20,0
